Time,Open,High,Low,Close,Volume,mean,sm,isSm,adx,di+,di-,rsi,sma,sma55,ema,bbh,bbm,bbl
07:00 16-11-2021,60200.0,60288.19,58574.07,60160.0,11141.19679,62418.53500000001,-2615.76020357143,False,55.145384170395104,6.591693594641254,41.08094208063852,21.805634674214645,60977.341,64043.33854545455,61141.11544563144,64242.039324098536,61699.12357142857,59156.20781875861
08:00 16-11-2021,60160.0,60656.95,60011.0,60574.49,3348.41779,62232.851500000004,-2450.0456214285723,False,55.547755432018285,9.453588430728448,38.752666582820936,27.529120434133077,60823.77999999999,63967.44454545454,61038.092637334805,63754.0389165626,61463.13714285714,59172.23536915168
09:00 16-11-2021,60576.76,60883.05,60020.0,60038.95,2921.50849,62021.014,-2359.117660714286,False,55.43403198002632,10.716096304496553,35.83072638209474,25.036725148596318,60665.613,63879.09090909091,60856.43033963757,63100.88636350445,61180.97285714286,59261.05935078127
10:00 16-11-2021,60038.94,60776.04,60031.95,60534.45,1994.34783,61845.887,-2167.003664285716,False,55.32843163174807,10.014974046685992,33.486428695122164,31.11110496008908,60628.317,63801.53527272728,60797.888459703456,62351.351030310674,60961.523571428566,59571.69611254646
11:00 16-11-2021,60534.44,61427.0,60452.09,60903.26,3197.58926,61700.4105,-1908.415132142858,False,53.86552946589596,14.811717288183889,30.656333171995126,35.22360211451519,60597.5,63733.82036363637,60817.04692157555,61924.42954682355,60844.611428571436,59764.79331031932
12:00 16-11-2021,60902.33,61087.29,60568.95,60669.14,1657.60044,61520.572499999995,-1635.6722785714296,False,52.50712031189043,14.128043142505305,29.241308702974113,33.87241715318508,60571.663,63667.77381818182,60790.15475401636,61563.18993570618,60741.68571428571,59920.181492865246
13:00 16-11-2021,60669.15,60923.18,60350.01,60647.89,1742.61945,61357.79550000001,-1373.165582142858,False,51.46063464013541,13.391936825674502,29.707979436772796,33.74872696640264,60553.40800000001,63602.253818181816,60764.28843510429,61333.53014858921,60672.205,60010.87985141079
14:00 16-11-2021,60647.89,60784.3,60160.01,60460.0,1421.27444,61186.88050000001,-1128.9784214285726,False,50.672533503279105,12.620629995315587,29.749827535869716,32.63941783777908,60518.88100000001,63530.97909090908,60708.963265085324,61296.23922418645,60640.24714285715,59984.25506152785
15:00 16-11-2021,60460.0,60637.0,59810.0,59900.01,1542.50059,60982.41850000001,-958.0590714285722,False,50.26347269497863,11.662388232689471,30.70445489964328,29.58824125542266,60408.819,63448.341636363635,60561.88085325163,61223.752538411405,60546.57428571429,59869.396033017176
16:00 16-11-2021,59900.01,60612.19,59728.27,60204.47,1857.01542,60812.30500000001,-726.2632535714304,True,49.957231988274366,10.725071459065335,28.979844384316156,33.16394955655288,60409.266,63368.41345454545,60496.897061751326,61158.162586877384,60494.92857142857,59831.69455597976
17:00 16-11-2021,60204.47,60292.69,59105.26,59719.92,2721.92255,60671.2995,-608.8083071428591,True,50.186798791826284,9.607929320545107,31.426317120642555,30.563741178122328,60365.25800000001,63279.12727272727,60355.62850506927,61160.02466413675,60415.60571428571,59671.18676443467
18:00 16-11-2021,59720.76,60914.81,59645.28,60453.49,2281.36693,60588.469,-340.5980392857159,True,49.029305061242255,13.826734601662855,28.06096524905641,38.275901071802146,60353.15800000001,63208.20181818182,60373.42150414758,61103.68385992135,60390.478571428575,59677.2732829358
19:00 16-11-2021,60453.5,61199.65,60369.15,60569.46,1166.17851,60535.911,-94.56051071428692,True,47.39771427384898,15.262763519884235,26.092473519871696,39.39603826230461,60406.208999999995,63144.54818181818,60409.06486702983,60998.158080769135,60359.680714285714,59721.20334780229
20:00 16-11-2021,60568.38,60673.99,60000.0,60058.87,1065.41727,60493.484,-12.822349999999915,True,46.27862225297825,14.38106418609004,27.749165547660564,36.33970376631297,60358.651,63078.24436363636,60345.39307302441,61002.14516655888,60349.6,59697.054833441114
21:00 16-11-2021,60058.87,60437.68,59450.0,59712.06,2290.4343,60418.5155,21.626578571427217,True,45.76387986894004,13.179533502853891,30.083278380176747,34.42993728908421,60239.530999999995,62996.78581818182,60230.24160520179,61043.951332191304,60317.60428571428,59591.25723923726
22:00 16-11-2021,59712.06,60275.44,59230.76,59317.37,2180.24673,60338.008499999996,-41.2759964285724,True,45.47795032071009,12.034246220590312,29.292763417361467,32.3907337527901,60104.35400000001,62911.13181818182,60064.26494971055,61100.92041281775,60227.810000000005,59354.69958718226
23:00 16-11-2021,59317.38,59737.62,59082.21,59371.88,2442.80294,60265.080500000004,-104.3780250000002,True,45.342215277647725,11.366871406379136,28.925223354435175,32.967903554072535,59976.75299999999,62823.89327272727,59938.3767770359,61156.05585554653,60180.16214285714,59204.268430167744
00:00 17-11-2021,59371.88,59770.0,58553.12,59039.99,3516.9732,60176.8165,-233.75896785714417,True,45.646871689451466,10.232272428883126,30.377949916658036,31.257696374581045,59834.752,62729.67890909091,59775.03372666573,61188.023602559355,60073.415,58958.80639744065
