Time,Open,High,Low,Close,Volume,mean
15:00 30-11-2020,19393.6,19747.05,19050.0,19695.87,22196.634655,
21:00 30-11-2020,19695.87,19720.0,19281.38,19483.73,18592.641068,
03:00 01-12-2020,19483.73,19888.0,18886.0,19425.0,34303.361085,
09:00 01-12-2020,19425.4,19489.3,18001.12,19058.4,59202.280633,
15:00 01-12-2020,19058.4,19211.0,18693.37,18764.96,15600.479866,
21:00 01-12-2020,18764.96,18972.12,18330.0,18654.41,18801.363373,
03:00 02-12-2020,18654.27,19342.0,18630.63,19127.31,23102.286816,
09:00 02-12-2020,19127.31,19250.7,18728.38,18976.33,21953.079809,
15:00 02-12-2020,18976.33,19260.0,18894.8,19204.09,12054.28348,
21:00 02-12-2020,19204.08,19299.0,18867.2,18922.83,12071.181061,
03:00 03-12-2020,18922.83,19450.0,18880.51,19396.5,23281.916974,
09:00 03-12-2020,19396.49,19598.0,19194.06,19299.23,20517.010027,
15:00 03-12-2020,19299.24,19540.0,19299.24,19421.9,10819.283217,
21:00 03-12-2020,19422.34,19527.0,19122.48,19200.07,12623.669196,
03:00 04-12-2020,19200.01,19447.14,18700.0,18833.25,23732.554411,
09:00 04-12-2020,18834.48,19146.22,18686.38,18968.93,20109.800872,
15:00 04-12-2020,18968.82,19078.68,18565.31,18650.52,14817.643721,
21:00 04-12-2020,18650.51,18970.0,18500.0,18954.42,14558.407787,
03:00 05-12-2020,18955.83,19177.0,18900.0,19013.43,11603.185081,
09:00 05-12-2020,19013.43,19150.0,18941.74,19125.76,9921.54569,19108.847
15:00 05-12-2020,19125.77,19172.37,18977.16,19147.66,6839.610015,19081.4365
21:00 05-12-2020,19147.66,19342.0,19105.0,19151.97,9716.616202,19064.8485
03:00 06-12-2020,19152.0,19260.0,18950.87,19089.16,8096.992047,19048.0565
09:00 06-12-2020,19089.15,19213.09,18857.0,19128.02,9219.734085,19051.5375
15:00 06-12-2020,19127.86,19420.0,19045.0,19359.4,10009.749527,19081.2595
21:00 06-12-2020,19358.67,19420.91,19157.55,19246.26,8617.360348,19110.852000000003
03:00 07-12-2020,19246.25,19399.0,19090.0,19103.58,10198.324221,19109.6655
09:00 07-12-2020,19103.79,19257.03,19095.72,19160.01,10590.012831,19118.8495
15:00 07-12-2020,19160.01,19217.64,18902.88,19166.9,11966.598893,19116.99
21:00 07-12-2020,19166.9,19293.76,19132.67,19293.76,7938.556942,19135.5365
03:00 08-12-2020,19293.76,19294.84,18700.0,18762.96,18330.127159,19103.8595
09:00 08-12-2020,18762.95,18974.83,18610.0,18927.41,15964.904849,19085.2685
15:00 08-12-2020,18927.41,18930.84,18200.0,18324.11,19393.358664,19030.379
21:00 08-12-2020,18324.11,18380.0,18032.0,18205.5,18104.206032,18980.6505
03:00 09-12-2020,18206.57,18379.87,17650.0,18244.95,28316.15205,18951.235500000003
09:00 09-12-2020,18244.94,18523.99,18169.1,18304.06,18703.524172,18917.992000000002
15:00 09-12-2020,18304.06,18639.57,18165.0,18541.28,14461.671547,18912.53
21:00 09-12-2020,18541.29,18557.32,18303.28,18372.37,10049.676433,18883.427499999998
03:00 10-12-2020,18372.36,18480.0,18070.0,18192.49,13834.392341,18842.3805
