Time,Open,High,Low,Close,Volume,mean
21:00 16-08-2017,4261.48,4349.99,4261.32,4349.99,82.088865,
05:00 17-08-2017,4333.32,4485.39,4333.32,4352.34,238.181883,
13:00 17-08-2017,4352.33,4369.69,4200.74,4285.08,474.879629,
21:00 17-08-2017,4285.08,4340.62,4134.61,4300.25,524.582072,
05:00 18-08-2017,4285.0,4371.52,4193.7,4236.89,372.109513,
13:00 18-08-2017,4234.54,4297.75,3938.77,4108.37,303.196679,
21:00 18-08-2017,4108.37,4184.69,3933.21,4033.47,221.262527,
05:00 19-08-2017,4033.47,4100.0,3850.0,3972.05,124.77162,
13:00 19-08-2017,4036.19,4149.99,3953.4,4139.98,35.275616,
21:00 19-08-2017,4120.98,4156.56,4044.0,4155.87,35.215193,
05:00 20-08-2017,4155.87,4211.08,4032.62,4125.0,65.133209,
13:00 20-08-2017,4125.0,4185.94,4069.13,4086.29,366.73462,
21:00 20-08-2017,4069.13,4119.62,3953.4,4043.63,443.413272,
05:00 21-08-2017,4043.63,4088.12,3911.79,4022.0,122.64111,
13:00 21-08-2017,4005.99,4070.49,3918.8,4016.0,125.688678,
21:00 21-08-2017,4016.0,4016.0,3400.0,3798.08,281.906865,
05:00 22-08-2017,3798.08,3990.12,3750.08,3858.23,401.089657,
13:00 22-08-2017,3858.23,4104.82,3853.47,4040.0,283.688336,
21:00 22-08-2017,4040.0,4127.99,4013.89,4074.88,301.497987,
05:00 23-08-2017,4081.63,4265.8,4057.0,4197.05,372.384591,4109.7725
13:00 23-08-2017,4226.94,4259.58,4069.8,4114.01,327.253987,4097.9735
21:00 23-08-2017,4147.0,4204.55,4085.01,4153.32,246.69961,4088.0225
05:00 24-08-2017,4153.8,4250.94,4136.33,4222.0,318.48383,4084.8684999999996
13:00 24-08-2017,4223.06,4371.68,4178.22,4316.01,222.235313,4085.6565
21:00 24-08-2017,4316.01,4370.0,4267.5,4329.0,242.614069,4090.2619999999997
05:00 25-08-2017,4317.81,4422.29,4261.13,4394.36,238.639716,4104.5615
13:00 25-08-2017,4394.36,4453.91,4247.48,4280.68,92.358955,4116.9220000000005
21:00 25-08-2017,4280.71,4319.7,4228.99,4319.7,70.345856,4134.3045
05:00 26-08-2017,4319.7,4319.7,4221.14,4275.0,70.808065,4141.0555
13:00 26-08-2017,4275.0,4367.0,4212.41,4337.44,86.954147,4150.134
21:00 26-08-2017,4332.51,4400.0,4293.42,4313.84,110.458587,4159.576
05:00 27-08-2017,4331.29,4352.34,4285.54,4325.0,92.416106,4171.5115
13:00 27-08-2017,4290.01,4386.79,4290.01,4310.01,147.817892,4184.8305
21:00 27-08-2017,4310.01,4330.36,4124.54,4261.9,167.692553,4196.8255
05:00 28-08-2017,4261.9,4365.4,4226.93,4273.59,243.580585,4209.705
13:00 28-08-2017,4317.2,4399.82,4273.59,4386.69,192.568478,4239.1355
21:00 28-08-2017,4353.65,4404.07,4313.55,4329.02,207.319033,4262.675
05:00 29-08-2017,4328.12,4625.85,4328.12,4570.0,216.816,4289.175
13:00 29-08-2017,4569.65,4624.99,4496.95,4587.48,179.409995,4314.805
21:00 29-08-2017,4564.52,4647.51,4527.45,4550.02,268.976481,4332.4535000000005
05:00 30-08-2017,4550.0,4597.0,4416.01,4546.77,339.165309,4354.0914999999995
13:00 30-08-2017,4555.0,4609.92,4516.87,4555.14,200.326981,4374.182500000001
21:00 30-08-2017,4555.14,4628.12,4555.14,4592.16,212.649806,4392.6905
05:00 31-08-2017,4603.58,4685.55,4572.64,4648.82,218.872006,4409.331
13:00 31-08-2017,4648.82,4745.42,4638.98,4724.89,125.43499,4429.1255
21:00 31-08-2017,4689.89,4767.0,4654.88,4707.5,176.874112,4444.7825
05:00 01-09-2017,4715.0,4839.92,4708.09,4803.83,199.854367,4470.9400000000005
13:00 01-09-2017,4756.46,4885.55,4738.94,4834.91,183.937887,4496.700500000001
21:00 01-09-2017,4796.16,4939.19,4473.35,4697.71,324.308136,4517.836
05:00 02-09-2017,4701.02,4709.4,4354.61,4460.19,329.544361,4523.9735
13:00 02-09-2017,4465.12,4554.98,4286.87,4472.14,275.296098,4531.8885
