Time,Open,High,Low,Close,Volume,mean
15:00 30-11-2019,7479.79,7561.95,7461.76,7541.89,8218.161207,
21:00 30-11-2019,7540.63,7541.85,7228.99,7307.05,22719.955218,
03:00 01-12-2019,7304.8,7390.0,7210.0,7313.8,12722.448746,
09:00 01-12-2019,7314.98,7477.29,7267.52,7323.22,15255.631404,
15:00 01-12-2019,7323.22,7436.81,7280.0,7390.89,10071.306945,
21:00 01-12-2019,7391.5,7420.56,7251.9,7281.02,9500.683542,
03:00 02-12-2019,7281.01,7369.0,7151.1,7297.91,17144.880791,
09:00 02-12-2019,7297.91,7358.0,7236.56,7285.99,13472.214925,
15:00 02-12-2019,7285.99,7350.0,7260.35,7294.28,6212.476782,
21:00 02-12-2019,7294.42,7400.0,7262.02,7276.57,9489.829988,
03:00 03-12-2019,7276.6,7323.98,7241.35,7266.7,8808.05726,
09:00 03-12-2019,7263.97,7356.13,7262.81,7327.4,8938.256501,
15:00 03-12-2019,7327.16,7356.87,7283.02,7292.71,5913.333738,
21:00 03-12-2019,7292.71,7294.03,7102.0,7127.8,17593.635052,
03:00 04-12-2019,7126.7,7233.77,7067.0,7200.34,12629.86116,
09:00 04-12-2019,7200.62,7750.0,7197.71,7468.83,34111.393739,
15:00 04-12-2019,7469.41,7491.52,7100.0,7194.32,18812.259191,
21:00 04-12-2019,7194.59,7376.72,7150.0,7321.62,16306.742433,
03:00 05-12-2019,7320.97,7433.0,7259.9,7370.45,15117.997658,
09:00 05-12-2019,7369.36,7485.0,7265.0,7342.55,18090.472077,7311.267
15:00 05-12-2019,7342.55,7447.4,7327.59,7389.0,9791.466687,7303.6224999999995
21:00 05-12-2019,7389.0,7433.99,7313.91,7395.27,10331.297161,7308.0335
03:00 06-12-2019,7394.64,7443.15,7305.0,7338.66,12161.940102,7309.2765
09:00 06-12-2019,7338.68,7590.03,7337.56,7477.0,14171.187849,7316.9655
15:00 06-12-2019,7475.97,7550.0,7391.03,7527.47,11524.662832,7323.794499999999
21:00 06-12-2019,7527.8,7619.62,7500.0,7559.01,11053.842211,7337.694
03:00 07-12-2019,7559.06,7559.69,7470.16,7524.98,9004.997333,7349.047500000001
09:00 07-12-2019,7523.68,7551.8,7496.0,7508.78,6994.827376,7360.187000000001
15:00 07-12-2019,7508.42,7527.89,7472.01,7488.21,4445.017253,7369.883500000001
21:00 07-12-2019,7487.31,7499.75,7374.86,7421.96,9097.634836,7377.153
03:00 08-12-2019,7422.26,7542.16,7411.91,7520.03,7854.414731,7389.8195
09:00 08-12-2019,7520.03,7564.0,7488.2,7525.71,7456.320368,7399.735000000001
15:00 08-12-2019,7526.21,7552.0,7503.0,7510.11,5448.527696,7410.6050000000005
21:00 08-12-2019,7510.11,7541.9,7451.0,7483.61,8091.893645,7428.395499999999
03:00 09-12-2019,7482.56,7530.0,7440.04,7471.25,7968.988141,7441.941000000001
09:00 09-12-2019,7471.24,7650.0,7390.0,7438.09,18636.753808,7440.404
15:00 09-12-2019,7438.09,7450.54,7273.0,7338.64,11924.251899,7447.62
21:00 09-12-2019,7338.64,7407.6,7310.01,7357.83,13276.579829,7449.4305
03:00 10-12-2019,7357.32,7373.21,7288.0,7342.0,12336.1093,7448.008
09:00 10-12-2019,7341.75,7355.0,7168.6,7182.35,16244.055818,7439.998
15:00 10-12-2019,7180.91,7257.34,7157.1,7224.13,7867.017193,7431.7545
21:00 10-12-2019,7224.15,7275.5,7190.17,7195.57,6420.005781,7421.7695
03:00 11-12-2019,7195.9,7249.72,7180.0,7227.36,7011.946709,7416.2045
09:00 11-12-2019,7227.36,7267.01,7125.66,7197.9,12458.778588,7402.249500000001
15:00 11-12-2019,7197.9,7214.1,7170.0,7210.0,4202.360866,7386.376000000001
21:00 11-12-2019,7210.0,7295.0,7080.3,7163.02,13631.841078,7366.5765
03:00 12-12-2019,7163.41,7217.99,7115.0,7192.93,9492.565412,7349.973999999999
09:00 12-12-2019,7192.93,7222.15,7140.0,7202.08,12103.154137,7334.639
15:00 12-12-2019,7203.24,7261.95,7186.12,7198.08,7061.040305,7320.1325
21:00 12-12-2019,7197.76,7247.62,7190.76,7227.03,5331.587282,7310.386
03:00 13-12-2019,7226.96,7255.0,7205.67,7221.9,7503.788522,7295.4794999999995
09:00 13-12-2019,7221.29,7309.05,7208.2,7274.36,9930.412126,7282.911999999999
15:00 13-12-2019,7274.73,7283.78,7224.0,7258.48,4844.085865,7270.330499999999
21:00 13-12-2019,7257.37,7271.77,7232.09,7266.93,2814.067122,7259.496500000001
03:00 14-12-2019,7265.92,7267.45,7150.0,7185.94,7697.123844,7245.231
09:00 14-12-2019,7185.49,7189.48,7012.0,7065.26,14414.933507,7226.589499999999
15:00 14-12-2019,7065.02,7104.25,7062.56,7064.05,4635.861494,7212.860000000001
21:00 14-12-2019,7064.14,7072.85,7008.35,7058.0,4926.783934,7197.8685
03:00 15-12-2019,7058.1,7200.3,7035.37,7110.61,10533.438316,7186.298999999999
09:00 15-12-2019,7111.11,7149.0,7061.05,7114.01,7042.193391,7182.8820000000005
15:00 15-12-2019,7113.6,7141.67,7097.41,7118.59,3893.362496,7177.6050000000005
21:00 15-12-2019,7119.6,7132.52,7042.49,7071.26,6375.352913,7171.3895
03:00 16-12-2019,7070.87,7125.6,7051.0,7091.85,7389.275943,7164.614000000001
09:00 16-12-2019,7091.92,7150.0,7074.0,7109.13,9359.189149,7160.175499999999
15:00 16-12-2019,7109.68,7117.0,6836.0,6891.72,20740.175054,7144.261499999999
21:00 16-12-2019,6891.44,6910.78,6856.0,6889.17,6179.869497,7130.569
03:00 17-12-2019,6889.6,6942.21,6856.0,6935.09,8772.238385,7117.677000000001
09:00 17-12-2019,6935.13,6940.84,6640.77,6710.0,22219.932693,7093.072999999999
15:00 17-12-2019,6710.0,6730.0,6560.0,6623.82,16693.029354,7064.360000000001
21:00 17-12-2019,6623.84,6725.69,6600.52,6668.58,9272.969267,7036.4375
03:00 18-12-2019,6668.58,6685.36,6590.01,6615.24,11088.499979,7006.104500000001
09:00 18-12-2019,6615.24,6929.2,6435.0,6859.92,39601.291485,6985.3825
15:00 18-12-2019,6860.22,7440.0,6820.0,7277.83,35673.89052,6986.35
21:00 18-12-2019,7277.83,7380.0,7110.02,7147.21,17788.509508,6980.364
03:00 19-12-2019,7146.66,7200.0,7038.31,7150.0,15010.325571,6978.567
09:00 19-12-2019,7150.56,7234.0,7060.01,7133.17,15877.199592,6981.9625
15:00 19-12-2019,7131.75,7185.0,7119.16,7150.3,6833.014404,6986.275
21:00 19-12-2019,7151.31,7160.0,7079.5,7090.81,7565.458167,6987.9155
03:00 20-12-2019,7089.52,7175.67,7082.38,7149.5,7550.269244,6989.860000000001
09:00 20-12-2019,7149.87,7220.0,7133.0,7175.19,10093.477874,6992.919
15:00 20-12-2019,7175.19,7214.26,7166.23,7187.83,6922.86392,6996.380999999999
21:00 20-12-2019,7188.01,7190.58,7141.0,7156.69,4651.940938,7000.652499999999
03:00 21-12-2019,7156.47,7161.57,7105.0,7145.99,6016.414402,7003.3595000000005
09:00 21-12-2019,7145.97,7154.23,7118.05,7152.31,4586.946329,7005.5185
15:00 21-12-2019,7152.42,7180.0,7122.0,7132.75,4211.872359,7017.5700000000015
21:00 21-12-2019,7131.59,7148.99,7122.47,7132.06,2857.288808,7029.7145
03:00 22-12-2019,7132.04,7200.3,7125.0,7165.36,6476.599332,7041.228
09:00 22-12-2019,7164.4,7375.64,7155.62,7312.26,13070.611254,7071.341
