
____________________________________________________________________________________________________________________________________
| ID  ||                       COMPRA                       ||                       VENTA                        ||   RESULTADO   |
|     ||     Monto      ||     Precio     ||  Fecha y Hora  ||     Monto      ||     Precio     ||  Fecha y Hora  ||               |
------------------------------------------------------------------------------------------------------------------------------------
| 36  ||     92.31      ||    44599.67    ||01:30 27-03-2022||     91.96      ||    44520.45    ||09:15 27-03-2022|| -0.35 ||-0.38% |
| 37  ||     91.96      ||    44678.89    ||11:50 27-03-2022||     91.64      ||    44611.39    ||12:00 27-03-2022|| -0.32 ||-0.35% |
| 38  ||     91.64      ||    44824.50    ||14:25 27-03-2022||     91.96      ||    45071.53    ||17:35 27-03-2022|| 0.32  || 0.35% |
| 39  ||     91.96      ||    46695.83    ||19:50 27-03-2022||     92.85      ||    47239.40    ||21:30 27-03-2022|| 0.88  || 0.96% |
| 40  ||     92.85      ||    46789.70    ||22:40 27-03-2022||     93.43      ||    47176.87    ||02:00 28-03-2022|| 0.58  || 0.63% |
| 41  ||     93.43      ||    47176.40    ||02:45 28-03-2022||     93.00      ||    47054.49    ||03:00 28-03-2022|| -0.43 ||-0.46% |
| 42  ||     93.00      ||    46811.78    ||03:15 28-03-2022||     93.44      ||    47128.60    ||06:45 28-03-2022|| 0.44  || 0.48% |
| 43  ||     93.44      ||    47568.50    ||11:25 28-03-2022||     92.92      ||    47397.54    ||13:15 28-03-2022|| -0.52 ||-0.56% |
| 44  ||     92.92      ||    47480.12    ||13:20 28-03-2022||     93.44      ||    47842.27    ||15:45 28-03-2022|| 0.52  || 0.56% |
| 45  ||     93.44      ||    47956.28    ||16:55 28-03-2022||     92.90      ||    47771.65    ||18:25 28-03-2022|| -0.55 ||-0.58% |
| 46  ||     92.90      ||    47606.21    ||18:40 28-03-2022||     92.39      ||    47441.79    ||20:15 28-03-2022|| -0.51 ||-0.54% |
| 47  ||     92.39      ||    47558.01    ||03:40 29-03-2022||     92.03      ||    47468.76    ||04:05 29-03-2022|| -0.36 ||-0.39% |
| 48  ||     92.03      ||    47480.59    ||04:10 29-03-2022||     91.68      ||    47392.55    ||04:55 29-03-2022|| -0.35 ||-0.38% |
| 49  ||     91.68      ||    47591.82    ||06:55 29-03-2022||     91.87      ||    47784.40    ||08:40 29-03-2022|| 0.19  || 0.20% |
| 50  ||     91.87      ||    47853.83    ||10:00 29-03-2022||     91.40      ||    47707.30    ||10:40 29-03-2022|| -0.46 ||-0.51% |
| 51  ||     91.40      ||    47623.35    ||10:50 29-03-2022||     91.78      ||    47917.68    ||12:15 29-03-2022|| 0.38  || 0.42% |
| 52  ||     91.78      ||    47701.49    ||16:55 29-03-2022||     91.32      ||    47557.88    ||17:35 29-03-2022|| -0.46 ||-0.50% |
| 53  ||     91.32      ||    47449.49    ||03:50 30-03-2022||     90.95      ||    47351.91    ||05:00 30-03-2022|| -0.37 ||-0.41% |
| 54  ||     90.95      ||    47164.84    ||06:35 31-03-2022||     91.07      ||    47321.35    ||07:00 31-03-2022|| 0.12  || 0.13% |
| 55  ||     91.07      ||    45430.12    ||10:55 01-04-2022||     91.71      ||    45838.98    ||11:45 01-04-2022|| 0.64  || 0.70% |
